Species,Urban,Natural,Agricultural
Andrena barbilabris,0,1,NA
Andrena bicolor,0,NA,1
Andrena carantonica,0,0,1
Andrena chrysosceles,0,NA,1
Andrena cineraria,0,1,1
Andrena dorsata,0,NA,1
Andrena flavipes,0,0,1
Andrena fucata,0,1,NA
Andrena fulva,1,0,NA
Andrena gravida,0,NA,1
Andrena haemorrhoa,0,1,1
Andrena labiata,0,0,1
Andrena nigriceps,0,1,NA
Andrena nigroaenea,0,0,1
Andrena nitida,0,0,1
Andrena ovatula,0,1,1
Andrena semilaevis,0,1,1
Andrena subopaca,0,1,1
Andrena tibialis,1,0,NA
Andrena varians,NA,NA,NA
Anthidium manicatum,1,0,0
Anthidium oblongatum,1,NA,0
Anthophora plumipes,1,0,0
Anthophora quadrimaculata,1,0,NA
Bombus hypnorum,1,0,0
Bombus jonellus,0,1,NA
Bombus muscorum,0,1,1
Bombus pascuorum,0,1,1
Bombus pratorum,0,1,1
Bombus terrestris,1,1,0
Dasypoda hirtipes,0,1,1
Halictus confusus,0,1,NA
Halictus rubicundus,0,1,1
Lasioglossum calceatum,0,1,1
Lasioglossum fulvicorne,0,1,1
Lasioglossum leucozonium,0,1,1
Lasioglossum punctatissimum,0,1,1
Lasioglossum sexnotatum,0,1,1
Lasioglossum sexstrigatum,NA,NA,NA
Lasioglossum zonulum,0,1,1
Megachile centuncularis,NA,0,1
Megachile rotundata,1,0,0
Nomada succincta,0,1,NA
Osmia caerulescens,1,0,NA
Osmia cornuta,1,0,0
Osmia leaiana,1,0,NA
Panurgus banksianus,0,1,NA
Panurgus calcaratus,0,1,1
Stelis breviuscula,NA,0,NA
Xylocopa violacea,1,0,0
