"","list.of.spanish.bees"
"1","Bombus pratorum"
"2","Bombus pascuorum"
"3","Osmia lateralis"
"4","Bombus terrestris"
"5","Andrena flavipes"
"6","Bombus lucorum"
"7","Xylocopa cantabrita"
"8","Xylocopa valga"
"9","Eucera elongatula"
"10","Rhodantidium sticticum"
"11","Apis mellifera"
"12",NA
"13","Nomada succincta"
"14","Dasypoda cingulata"
"15","Andrena hispania"
"16","Panurgus calcaratus"
"17","Hoplitis papaveris"
"18","Dasypoda crassicornis"
"19","Dasypoda iberica"
"20","Nomada merceti"
"21","Nomada discrepans"
"22","Panurgus dargius"
"23","Megascolia sp."
"24","Rhodanthidium sticticum"
"25","Dasypoda sp."
"26","Flavipanurgus venustus"
"27","Halictus sp."
"28","Amegilla quadrifasciata"
"29","Osmia caerulescens"
"30","Systropha planidens"
"31","Lasioglossum immunitum"
"32","Anthidium manicatum"
"33","Anthidium florentinum"
"34","Megachile centuncularis"
"35","Bombus muscorum"
"36","Heriades rubicola"
"37","Colletes hylaeiformis"
"38","Anthidium oblongatum"
"39","Halictus quadricinctus"
"40","Xylocopa violacea"
"41","Andrena morio"
"42","Dasypoda visnaga"
"43","Dasypoda hirtipes"
"44","Panurgus banksianus"
"45","Anthophora bimaculata"
"46","Osmia bicornis"
"47","Osmia leaiana"
"48","Osmia latreillei"
"49","Osmia submicans"
"50","Stelis breviuscula"
"51","Andrena angustior"
"52","Andrena cinerea"
"53","Andrena pilipes"
"54","Andrena rhyssonota"
"55","Andrena sp."
"56","Andrena (Chrysandrena)"
"57","Andrena (Chlorandrena)"
"58","Anthophora retusa"
"59","Anthopora dispar"
"60","Anthopora plumipes"
"61","Eucera notata"
"62","Eucera rufa"
"63","Eucera sp."
"64","Lasioglossum malachurum"
"65","Megachile willughbiella"
"66","Nomada agrestis"
"67","Psithyrus vestalis"
