"","unique(brains.t$Species)"
"1","Bombus pratorum"
"2","Bombus pascuorum"
"3","Osmia lateralis"
"4","Bombus terrestris"
"5","Andrena flavipes"
"6","Bombus lucorum"
"7","Xylocopa cantabrita"
"8","Xylocopa valga"
"9","Eucera elongatula"
"10","Rhodantidium sticticum"
"11","Apis mellifera"
"12",NA
"13","Nomada succincta"
"14","Dasypoda cingulata"
"15","Andrena hispania"
"16","Panurgus calcaratus"
"17","Hoplitis papaveris"
"18","Dasypoda crassicornis"
"19","Dasypoda iberica"
"20","Nomada merceti"
"21","Nomada discrepans"
"22","Panurgus dargius"
"23","Megascolia sp."
"24","Rhodanthidium sticticum"
"25","Dasypoda sp."
"26","Flavipanurgus venustus"
"27","Halictus sp."
"28","Amegilla quadrifasciata"
"29","Osmia caerulescens"
"30","Systropha planidens"
"31","Lasioglossum immunitum"
"32","Anthidium manicatum"
"33","Anthidium florentinum"
"34","Megachile centuncularis"
"35","Bombus muscorum"
"36","Heriades rubicola"
"37","Colletes hylaeiformis"
"38","Anthidium oblongatum"
"39","Halictus quadricinctus"
"40","Xylocopa violacea"
"41","Andrena morio"
"42","Dasypoda visnaga"
"43","Dasypoda hirtipes"
"44","Panurgus banksianus"
"45","Anthophora bimaculata"
"46","Andrena dorsata"
"47","Lasioglossum calceatum"
"48","Andrena tibialis"
"49","Lasioglossum punctatissimum"
"50","Lasioglossum zonulum"
"51","Lasioglossum leucozonium"
"52","Andrena nigroaenea"
"53","Andrena nitida"
"54","Andrena cineraria"
"55","Halictus rubicundus"
"56","Andrena labiata"
"57","Andrena subopaca"
"58","Andrena ovatula"
"59","Lasioglossum sexnotatum"
"60","Andrena semilaevis"
"61","Lasioglossum sexstrigatum"
"62","Lasioglossum fulvicorne"
"63","Andrena carantonica"
"64","Andrena varians"
"65","Andrena barbilabris"
"66","Andrena haemorrhoa"
"67","Andrena fulva"
"68","Andrena chrysosceles"
"69","Bombus hortorum"
"70","Bombus lapidarius"
"71","Andrena gravida"
"72","Bombus jonellus"
"73","Anthophora plumipes"
"74","Bombus hypnorum"
"75","Andrena bicolor"
"76","Osmia bicornis"
"77","Andrena fucata"
"78","Andrena fulvida"
"79","Anthophora quadrimaculata"
"80","Andrena nigriceps"
"81","Halictus confusus"
"82","Osmia leaiana"
"83","Osmia latreillei"
"84","Osmia submicans"
"85","Stelis breviuscula"
"86","Osmia cornuta"
"87","Andrena frigida"
"88","Andrena rugosa"
"89","Osmia bucephala"
"90","Augochlorella aurata"
"91","Ceratina calcarata"
"92","Andrena pruni"
"93","Andrena nasonii"
"94","Andrena hippotes"
"95","Andrena sp 3"
"96","Osmia cornifrons"
"97","Osmia lignaria"
"98","Osmia pumila"
"99","Andrena dunningi"
"100","Andrena miserabilis"
"101","Andrena milwaukeensis"
"102","Andrena vicina"
"103","Augochlora pura"
"104","Andrena crataegi"
"105","Sphecodes ranunculi"
"106","Lasioglossum coriaceum"
"107","Halictus ligatus"
"108","Chelostoma philadephi"
"109","Colletes thoracicus"
"110","Andrena wilkella"
"111","Hoplitis pilosiformis"
"112","Heriades carinatus"
"113","Andrena carlini"
"114","Bombus vagans"
"115","Bombus bimaculatus"
"116","Calliopsis andreniformis"
"117","Osmia atriventris"
"118","Megachile gemula"
"119","Augochloropsis metallica"
"120","Andrena fragilis"
"121","Andena vicina"
"122","Bombus griseocollis"
"123","Agapostemon virescens"
"124","Coelioxys sp."
"125","Ceratina strenua"
"126","Megachile rotundata"
"127","Dufourea novaeangliae"
"128","Megachile inimica"
"129","Megachile apicalis"
"130","Melissodes bimaculata"
"131","Megachile sculpturalis"
"132","Hylaeus leptocephalus"
"133","Ptilothrix bombiformis"
"134","Megachile texana"
"135","Lasioglossum quebecensis"
"136","Megachile mendica"
"137","Megachile campanulae"
"138","Bombus ternarius"
"139","Andrena hirticincta"
"140","Agapostemon sericeus"
"141","Andrena simplex"
"142","Andrena nubecula"
"143","Agaposemon sericeus"
"144","Xylocopa virginica"
"145","Bombus impatiens"
"146","Andrena angustior"
"147","Andrena cinerea"
"148","Andrena pilipes"
"149","Andrena rhyssonota"
"150","Andrena sp."
"151","Andrena (Chrysandrena)"
"152","Andrena (Chlorandrena)"
"153","Anthophora retusa"
"154","Anthopora dispar"
"155","Anthopora plumipes"
"156","Eucera notata"
"157","Eucera rufa"
"158","Eucera sp."
"159","Lasioglossum malachurum"
"160","Megachile willughbiella"
"161","Nomada agrestis"
"162","Psithyrus vestalis"
"163","Hylaeus mesillae"
"164","Hylaeus modestus"
"165","Lasioglossum dialictus spp"
"166","Megachile pugnata"
"167","Nomada cressonii"
"168","Nomada luteoloides"
