Species, Subfamily, Change index
Andrena barbilabris, Andreninae, 1.59
Andrena bicolor, Andreninae, 1.26
Andrena carantonica, Andreninae, 1.92
Andrena chrysosceles, Andreninae, 1.70
Andrena cineraria, Andreninae, 0.94
Andrena dorsata, Andreninae, 1.20
Andrena flavipes, Andreninae, 2.12
Andrena fucata, Andreninae, 1.64
Andrena fulva, Andreninae, 1.79
Andrena fulvida, Andreninae, 0.43
Andrena gravida, Andreninae, 0.62
Andrena hemorrhoa, Andreninae, 2.22
Andrena labiata, Andreninae, 1.03
Andrena nigriceps, Andreninae, 0.38
Andrena nigroaenea, Andreninae, 1.69
Andrena nitida, Andreninae, 1.21
Andrena ovatula, Andreninae, 0.48
Andrena pilipes, Andreninae, 0.25
Andrena semilaevis, Andreninae, 0.95
Andrena subopaca, Andreninae, 1.99
Andrena tibialis, Andreninae, 0.53
Anthidiellum strigatum, Megachilinae, 0.77
Anthidium manicatum, Megachilinae, 0.99
Anthophora furcata, Apinae, 0.68
Anthophora plumipes, Apinae, 1.29
Anthophora quadrimaculata, Apinae, 1.02
Anthophora retusa, Apinae, 0.22
Bombus hortorum, Apinae, 0.74
Bombus humilis, Apinae, 0.11
Bombus jonellus, Apinae, 0.28
Bombus lapidarius, Apinae, 0.60
Bombus pascuorum, Apinae, 0.61
Bombus pratorum, Apinae, 0.92
Bombus ruderatus, Apinae, 0.07
Bombus soroeensis, Apinae, 0.05
Bombus sylvarum, Apinae, 0.03
Bombus terrestris, Apinae, 0.73
Halictus confusus, Halictinae, 1.26
Halictus rubicundus, Halictinae, 1.43
Halictus sexcinctus, Halictinae, 0.03
Hoplitis claviventris, Megachilinae, 1.08
Lasioglossum albipes, Halictinae, 1.26
Lasioglossum calceatum, Halictinae, 1.39
Lasioglossum fulvicorne, Halictinae, 1.03
Lasioglossum leucozonium, Halictinae, 2.32
Lasioglossum punctatissimum, Halictinae, 1.56
Lasioglossum sexnotatum, Halictinae, 0.80
Lasioglossum sexstrigatum, Halictinae, 2.32
Lasioglossum zonulum, Halictinae, 1.38
Megachile centuncularis, Megachilinae, 0.72
Megachile circumcincta, Megachilinae, 0.30
Megachile leachella, Megachilinae, 0.82
Megachile ligniseca, Megachilinae, 0.17
Megachile maritima, Megachilinae, 0.26
Megachile willughbiella, Megachilinae, 1.57
Osmia bicornis, Megachilinae, 1.44
Osmia caerulescens, Megachilinae, 0.80
